;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
8576;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201908;224,8373;4,1;62,1;GBA
8635;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;234,221;5,1;51;Pampeana
8636;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;233,8715;7,2;51,5;Noreste
8637;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;242,4505;5,4;55,9;Noroeste
8638;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;247,5575;5,1;55,2;Cuyo
8639;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;227,7431;3,9;47,2;Patagonia
8725;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;235,0243;5,2;51,3;Pampeana
8726;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;234,4294;7,3;51,7;Noreste
8727;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;243,1285;5,5;56,1;Noroeste
8728;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;249,403;5,2;55,7;Cuyo
8729;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;228,3347;4;47,3;Patagonia
8765;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;262,1232;6,2;61,3;Pampeana
8766;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;259,298;7,1;62,8;Noreste
8767;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;259,728;6,8;61,1;Noroeste
8768;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;251,2791;5;56,2;Cuyo
8769;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;248,0204;5,5;59;Patagonia
8770;01.2.1;Café, té, yerba y cacao;Clase;201909;272,3575;3,1;55;Pampeana
8771;01.2.1;Café, té, yerba y cacao;Clase;201909;266,4167;3,1;55,2;Noreste
8772;01.2.1;Café, té, yerba y cacao;Clase;201909;267,0718;4,2;57,2;Noroeste
8773;01.2.1;Café, té, yerba y cacao;Clase;201909;271,337;3,7;51,5;Cuyo
8774;01.2.1;Café, té, yerba y cacao;Clase;201909;275,8259;2,9;59,5;Patagonia
8775;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;255,2195;6,5;61,7;Pampeana
8776;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;260,3023;7,3;53,3;Noreste
8777;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;256,3283;7,4;56,3;Noroeste
8778;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;261,2309;5,9;61,3;Cuyo
8779;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;264,2892;6,3;61,6;Patagonia
8806;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201909;229,7003;5,3;45,7;GBA
8826;11.1;Restaurantes y comidas fuera del hogar;Grupos;201909;230,7099;5,5;45,8;GBA
8834;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201909;254,904;7,3;62,9;GBA
8835;01.2.1;Café, té, yerba y cacao;Clase;201909;273,1664;2;55;GBA
8836;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201909;242,3956;7,8;58,5;GBA
8895;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;239,6211;2,3;48,8;Pampeana
8896;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;238,0267;1,8;50,5;Noreste
8897;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;249,1496;2,8;54,6;Noroeste
8898;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;254,1716;2,7;56,8;Cuyo
8899;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;236,0028;3,6;47;Patagonia
8985;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;240,3453;2,3;48,8;Pampeana
8986;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;238,4996;1,7;50,5;Noreste
8987;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;249,805;2,7;54,7;Noroeste
8988;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;255,9598;2,6;57,3;Cuyo
8989;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;236,6107;3,6;47;Patagonia
9025;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;271,8227;3,7;57,2;Pampeana
9026;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;266,8014;2,9;59,2;Noreste
9027;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;265,3289;2,2;57,6;Noroeste
9028;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;262,0386;4,3;54,3;Cuyo
9029;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;258,3265;4,2;55,2;Patagonia
9030;01.2.1;Café, té, yerba y cacao;Clase;201910;282,1074;3,6;50,7;Pampeana
9031;01.2.1;Café, té, yerba y cacao;Clase;201910;273,1196;2,5;49,5;Noreste
9032;01.2.1;Café, té, yerba y cacao;Clase;201910;274,0256;2,6;53,9;Noroeste
9033;01.2.1;Café, té, yerba y cacao;Clase;201910;277,7753;2,4;48,1;Cuyo
9034;01.2.1;Café, té, yerba y cacao;Clase;201910;286,4347;3,8;53,9;Patagonia
9035;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;266,9583;4,6;58,4;Pampeana
9036;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;268,8366;3,3;52;Noreste
9037;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;261,5485;2;55,2;Noroeste
9038;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;274,1999;5;58;Cuyo
9039;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;276,5954;4,7;59,5;Patagonia
9066;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201910;235,7793;2,6;45,8;GBA
9086;11.1;Restaurantes y comidas fuera del hogar;Grupos;201910;236,7015;2,6;45,7;GBA
9094;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201910;265,2809;4,1;61;GBA
9095;01.2.1;Café, té, yerba y cacao;Clase;201910;282,9813;3,6;50,3;GBA
9096;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201910;255,7321;5,5;55,6;GBA
9155;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;248,0136;3,5;50,2;Pampeana
9156;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;245,6175;3,2;51,6;Noreste
9157;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;257,9258;3,5;56,3;Noroeste
9158;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;262,4744;3,3;60,5;Cuyo
9159;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;244,0091;3,4;47,9;Patagonia
9245;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;248,7223;3,5;50,2;Pampeana
9246;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;246,0606;3,2;51,7;Noreste
9247;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;258,5795;3,5;56,4;Noroeste
9248;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;264,2352;3,2;61;Cuyo
9249;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;244,5884;3,4;47,9;Patagonia
9285;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;282,3462;3,9;57,2;Pampeana
9286;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;279,4644;4,7;61,6;Noreste
9287;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;272,939;2,9;56,7;Noroeste
9288;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;274,6901;4,8;57,1;Cuyo
9289;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;270,9981;4,9;56,7;Patagonia
9290;01.2.1;Café, té, yerba y cacao;Clase;201911;295,2573;4,7;52,1;Pampeana
9291;01.2.1;Café, té, yerba y cacao;Clase;201911;292,4054;7,1;52,8;Noreste
9292;01.2.1;Café, té, yerba y cacao;Clase;201911;287,2608;4,8;54,8;Noroeste
9293;01.2.1;Café, té, yerba y cacao;Clase;201911;293,611;5,7;54,2;Cuyo
9294;01.2.1;Café, té, yerba y cacao;Clase;201911;305,4887;6,7;55,8;Patagonia
9295;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;282,6379;5,9;58,5;Pampeana
9296;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;280,9495;4,5;51;Noreste
9297;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;268,2508;2,6;47,6;Noroeste
9298;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;291,5395;6,3;59,8;Cuyo
9299;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;290,8538;5,2;57,5;Patagonia
9326;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201911;243,0714;3,1;46,2;GBA
9346;11.1;Restaurantes y comidas fuera del hogar;Grupos;201911;243,9129;3;46;GBA
9354;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201911;276,2001;4,1;61,8;GBA
9355;01.2.1;Café, té, yerba y cacao;Clase;201911;292,6286;3,4;50;GBA
9356;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201911;267,2111;4,5;54,9;GBA
9415;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;255,8099;3,1;50,4;Pampeana
9416;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;254,4937;3,6;55,2;Noreste
9417;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;263,9668;2,3;55,8;Noroeste
9418;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;268,1879;2,2;58,1;Cuyo
9419;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;252,3903;3,4;47,6;Patagonia
9505;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;256,0878;3;50,5;Pampeana
9506;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;254,6586;3,5;55,3;Noreste
9507;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;264,3126;2,2;55,9;Noroeste
9508;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;269,2088;1,9;58,6;Cuyo
9509;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;252,5554;3,3;47,6;Patagonia
9545;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;299,5467;6,1;60,4;Pampeana
9546;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;298,1515;6,7;67,1;Noreste
9547;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;285,6819;4,7;57,9;Noroeste
9548;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;290,1501;5,6;60,4;Cuyo
9549;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;289,1638;6,7;61,9;Patagonia
9550;01.2.1;Café, té, yerba y cacao;Clase;201912;307,984;4,3;53,7;Pampeana
9551;01.2.1;Café, té, yerba y cacao;Clase;201912;306,4627;4,8;54,8;Noreste
9552;01.2.1;Café, té, yerba y cacao;Clase;201912;295,4751;2,9;53,2;Noroeste
9553;01.2.1;Café, té, yerba y cacao;Clase;201912;304,3947;3,7;53;Cuyo
9554;01.2.1;Café, té, yerba y cacao;Clase;201912;318,25;4,2;53,5;Patagonia
9555;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;296,0989;4,8;59;Pampeana
9556;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;289,9492;3,2;52,4;Noreste
9557;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;277,4552;3,4;47,5;Noroeste
9558;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;303,0588;4;59,7;Cuyo
9559;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;309,4922;6,4;60,5;Patagonia
9586;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201912;251,95;3,7;48,1;GBA
9606;11.1;Restaurantes y comidas fuera del hogar;Grupos;201912;252,1809;3,4;48,1;GBA
9614;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201912;288,9702;4,6;62,1;GBA
9615;01.2.1;Café, té, yerba y cacao;Clase;201912;305,7226;4,5;53,3;GBA
9616;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201912;274,9094;2,9;53,3;GBA
9675;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;265,5847;3,8;50,7;Pampeana
9676;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;270,9855;6,5;58,6;Noreste
9677;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;272,5565;3,3;53,4;Noroeste
9678;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;281,4594;4,9;55,6;Cuyo
9679;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;264,2112;4,7;49,4;Patagonia
9765;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;263,9452;3,1;50,7;Pampeana
9766;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;269,957;6;58,9;Noreste
9767;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;271,671;2,8;53,4;Noroeste
9768;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;279,8163;3,9;55,9;Cuyo
9769;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;262,5145;3,9;49,3;Patagonia
9805;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;318,2172;6,2;65,6;Pampeana
9806;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;325,9081;9,3;72,4;Noreste
9807;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;309,4555;8,3;65,5;Noroeste
9808;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;315,6869;8,8;72;Cuyo
9809;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;304,9961;5,5;63,8;Patagonia
9810;01.2.1;Café, té, yerba y cacao;Clase;202001;336,6656;9,3;63,4;Pampeana
9811;01.2.1;Café, té, yerba y cacao;Clase;202001;350,6551;14,4;72,3;Noreste
9812;01.2.1;Café, té, yerba y cacao;Clase;202001;319,7062;8,2;59,3;Noroeste
9813;01.2.1;Café, té, yerba y cacao;Clase;202001;333,2002;9,5;61,3;Cuyo
9814;01.2.1;Café, té, yerba y cacao;Clase;202001;343,1877;7,8;62;Patagonia
9815;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;304,4311;2,8;59;Pampeana
9816;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;298,5184;3;47,7;Noreste
9817;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;283,2382;2,1;43,8;Noroeste
9818;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;310,2556;2,4;57,7;Cuyo
9819;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;313,722;1,4;57;Patagonia
9846;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202001;262,5728;4,2;49,4;GBA
9866;11.1;Restaurantes y comidas fuera del hogar;Grupos;202001;259,8821;3,1;49,4;GBA
9874;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202001;307,8612;6,5;65,7;GBA
9875;01.2.1;Café, té, yerba y cacao;Clase;202001;327,6189;7,2;57,9;GBA
9876;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202001;280,6978;2,1;48,9;GBA
9935;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;276,0581;3,9;50,7;Pampeana
9936;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;269,6897;-0,5;51,3;Noreste
9937;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;279,1275;2,4;53,2;Noroeste
9938;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;286,0479;1,6;53,2;Cuyo
9939;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;265,9441;0,7;45,8;Patagonia
10025;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;274,9604;4,2;50,6;Pampeana
10026;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;268,7667;-0,4;51,3;Noreste
10027;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;278,5011;2,5;53,2;Noroeste
10028;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;284,9163;1,8;53,2;Cuyo
10029;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;264,4997;0,8;45,5;Patagonia
10065;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;335,1917;5,3;70,2;Pampeana
10066;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;355,2062;9;82;Noreste
10067;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;340,7203;10,1;78,1;Noroeste
10068;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;340,8888;8;81,3;Cuyo
10069;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;319,8953;4,9;69,2;Patagonia
10070;01.2.1;Café, té, yerba y cacao;Clase;202002;349,5882;3,8;65,6;Pampeana
10071;01.2.1;Café, té, yerba y cacao;Clase;202002;370,3492;5,6;79,6;Noreste
10072;01.2.1;Café, té, yerba y cacao;Clase;202002;332,354;4;60,8;Noroeste
10073;01.2.1;Café, té, yerba y cacao;Clase;202002;343,2707;3;63;Cuyo
10074;01.2.1;Café, té, yerba y cacao;Clase;202002;353,5441;3;64,9;Patagonia
10075;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;311,0983;2,2;59,3;Pampeana
10076;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;304,4072;2;47,6;Noreste
10077;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;293,5589;3,6;44,9;Noroeste
10078;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;318,3782;2,6;58,4;Cuyo
10079;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;325,1201;3,6;58,9;Patagonia
10106;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202002;271,2264;3,3;49;GBA
10126;11.1;Restaurantes y comidas fuera del hogar;Grupos;202002;269,2798;3,6;48,7;GBA
10134;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202002;319,2672;3,7;68;GBA
10135;01.2.1;Café, té, yerba y cacao;Clase;202002;339,8267;3,7;58,8;GBA
10136;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202002;288,7921;2,9;48,9;GBA
10195;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;281,3389;1,9;47,3;Pampeana
10196;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;278,5756;3,3;49;Noreste
10197;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;288,1968;3,2;52,1;Noroeste
10198;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;296,6292;3,7;48,6;Cuyo
10199;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;270,2325;1,6;43,2;Patagonia
10285;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;281,3575;2,3;47,2;Pampeana
10286;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;278,5239;3,6;48,9;Noreste
10287;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;288,3523;3,5;52,1;Noroeste
10288;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;297,4102;4,4;48,4;Cuyo
10289;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;269,8789;2;42,9;Patagonia
10325;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;348,9201;4,1;71,2;Pampeana
10326;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;374,7773;5,5;85,7;Noreste
10327;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;361,3122;6;81,2;Noroeste
10328;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;349,5893;2,6;76,8;Cuyo
10329;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;331,7867;3,7;68,5;Patagonia
10330;01.2.1;Café, té, yerba y cacao;Clase;202003;360,0187;3;65,3;Pampeana
10331;01.2.1;Café, té, yerba y cacao;Clase;202003;374,5183;1,1;76,4;Noreste
10332;01.2.1;Café, té, yerba y cacao;Clase;202003;341,6485;2,8;60,8;Noroeste
10333;01.2.1;Café, té, yerba y cacao;Clase;202003;342,4069;-0,3;54,4;Cuyo
10334;01.2.1;Café, té, yerba y cacao;Clase;202003;363,9301;2,9;65,2;Patagonia
10335;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;319,5607;2,7;60;Pampeana
10336;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;313,3781;2,9;46,2;Noreste
10337;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;303,1777;3,3;47,5;Noroeste
10338;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;324,2578;1,8;59,8;Cuyo
10339;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;335,1216;3,1;59,7;Patagonia
10366;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202003;276,4127;1,9;45,8;GBA
10386;11.1;Restaurantes y comidas fuera del hogar;Grupos;202003;276,1878;2,6;45,4;GBA
10394;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202003;328,7132;3;68,6;GBA
10395;01.2.1;Café, té, yerba y cacao;Clase;202003;346,8901;2,1;55,8;GBA
10396;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202003;293,7235;1,7;47,8;GBA
10455;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;285,4685;1,5;43,4;Pampeana
10456;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;284,542;2,1;43,5;Noreste
10457;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;295,6657;2,6;49,4;Noroeste
10458;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;300,4683;1,3;47,3;Cuyo
10459;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;271,8956;0,6;39,8;Patagonia
10585;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;354,9763;1,7;65,7;Pampeana
10586;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;380,7876;1,6;79,9;Noreste
10587;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;370,2924;2,5;76,2;Noroeste
10588;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;352,4071;0,8;71;Cuyo
10589;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;334,4671;0,8;62,8;Patagonia
10590;01.2.1;Café, té, yerba y cacao;Clase;202004;362,0484;0,6;58,6;Pampeana
10591;01.2.1;Café, té, yerba y cacao;Clase;202004;381,5506;1,9;71,7;Noreste
10592;01.2.1;Café, té, yerba y cacao;Clase;202004;342,4533;0,2;53,7;Noroeste
10593;01.2.1;Café, té, yerba y cacao;Clase;202004;345,9088;1;50,4;Cuyo
10594;01.2.1;Café, té, yerba y cacao;Clase;202004;352,6663;-3,1;53,5;Patagonia
10595;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;323,111;1,1;55,4;Pampeana
10596;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;310,8089;-0,8;42,8;Noreste
10597;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;304,5363;0,4;45,2;Noroeste
10598;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;323,3533;-0,3;52,8;Cuyo
10599;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;331,3328;-1,1;53,6;Patagonia
10626;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202004;280,2731;1,4;42,1;GBA
10654;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202004;338,3231;2,9;66,6;GBA
10655;01.2.1;Café, té, yerba y cacao;Clase;202004;344,3954;-0,7;50,1;GBA
10656;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202004;297,2637;1,2;47;GBA
10715;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;289,9256;1,6;42,4;Pampeana
10716;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;289,2288;1,6;44,1;Noreste
10717;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;300,6163;1,7;46,8;Noroeste
10718;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;304,5133;1,3;46,5;Cuyo
10719;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;276,227;1,6;38,3;Patagonia
10845;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;358,1764;0,9;61,2;Pampeana
10846;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;383,6384;0,7;73,9;Noreste
10847;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;374,5828;1,2;71,1;Noroeste
10848;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;357,4394;1,4;65,1;Cuyo
10849;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;338,1201;1,1;59,6;Patagonia
10850;01.2.1;Café, té, yerba y cacao;Clase;202005;366,1197;1,1;52,5;Pampeana
10851;01.2.1;Café, té, yerba y cacao;Clase;202005;376,1979;-1,4;61;Noreste
10852;01.2.1;Café, té, yerba y cacao;Clase;202005;348,9176;1,9;51,7;Noroeste
10853;01.2.1;Café, té, yerba y cacao;Clase;202005;346,1701;0,1;44,9;Cuyo
10854;01.2.1;Café, té, yerba y cacao;Clase;202005;362,7315;2,9;50,7;Patagonia
10855;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;322,7252;-0,1;49,8;Pampeana
10856;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;303,7397;-2,3;36,6;Noreste
10857;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;307,3148;0,9;42,2;Noroeste
10858;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;326,563;1;48,1;Cuyo
10859;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;334,2759;0,9;50,7;Patagonia
10886;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202005;284,5204;1,5;41,3;GBA
10914;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202005;336,84;-0,4;59,3;GBA
10915;01.2.1;Café, té, yerba y cacao;Clase;202005;344,8709;0,1;43,7;GBA
10916;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202005;292,3015;-1,7;38,7;GBA
10975;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202006;297,2513;2,5;42,1;Pampeana
10976;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202006;295,8995;2,3;43,8;Noreste
10977;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202006;307,2606;2,2;44,1;Noroeste
